id,gender,age,class,embarked,country,fare,sibsp,parch,survived
273,male,21.0,2nd,Southampton,England,11.1,0.0,0.0,no
274,male,3.0,3rd,Southampton,England,15.18,1.0,1.0,yes
275,male,9.0,3rd,Southampton,England,15.18,1.0,1.0,yes
276,female,36.0,3rd,Southampton,England,15.18,0.0,2.0,yes
277,male,58.0,3rd,Southampton,England,7.05,0.0,0.0,no
278,male,59.0,1st,Southampton,United States,26.11,0.0,0.0,no
279,male,20.0,3rd,Southampton,United States,8.0302,0.0,0.0,no
280,female,16.0,3rd,Southampton,United States,16.02,0.0,1.0,yes
281,male,43.0,3rd,Southampton,Australia,16.02,0.0,1.0,no
282,male,70.0,1st,Southampton,United States,71.0,1.0,1.0,no
283,female,39.0,1st,Southampton,United States,26.11,0.0,2.0,yes
284,female,64.0,1st,Southampton,United States,71.0,1.0,1.0,yes
285,male,17.0,3rd,Southampton,Croatia (Modern),8.1303,0.0,0.0,no
286,male,39.0,1st,Cherbourg,United States,71.0508,1.0,0.0,no
287,female,35.0,1st,Cherbourg,Peru,71.0508,1.0,0.0,yes
288,male,22.0,2nd,Belfast,Northern Ireland,,0.0,0.0,no
289,male,28.0,3rd,Cherbourg,,7.0407,0.0,0.0,no
290,female,22.0,3rd,Southampton,Sweden,10.1004,0.0,0.0,no
291,male,45.0,3rd,Southampton,,8.01,0.0,0.0,yes
292,male,19.0,3rd,Southampton,,10.0305,0.0,0.0,no
293,female,33.0,3rd,Queenstown,Ireland,6.19,0.0,0.0,yes
294,male,29.0,3rd,Queenstown,Ireland,7.15,0.0,0.0,yes
295,male,51.0,1st,Southampton,England,26.11,0.0,0.0,yes
296,male,0.3333333333,3rd,Southampton,Sweden,14.08,0.0,2.0,no
297,male,34.0,3rd,Southampton,Sweden,14.08,1.0,1.0,no
298,female,28.0,3rd,Southampton,Sweden,14.08,1.0,1.0,no
299,male,27.0,1st,Southampton,United States,30.1,0.0,0.0,yes
300,female,36.0,1st,Southampton,England,151.16,0.0,0.0,yes
301,male,27.0,3rd,Southampton,,7.1711,0.0,0.0,no
302,female,27.0,1st,Cherbourg,Canada,52.0,1.0,2.0,yes
303,male,31.0,1st,Cherbourg,Canada,52.0,1.0,0.0,no
304,male,8.0,2nd,Southampton,England,36.15,1.0,1.0,yes
305,male,24.0,3rd,Southampton,England,24.03,2.0,0.0,no
306,male,19.0,2nd,Southampton,England,73.1,0.0,0.0,no
307,male,22.0,3rd,Southampton,Wales,8.01,0.0,0.0,no
308,male,22.0,3rd,Southampton,England,24.03,2.0,0.0,no
309,male,17.0,3rd,Southampton,England,8.01,2.0,0.0,no
310,female,48.0,2nd,Southampton,England,36.15,0.0,2.0,yes
311,female,28.0,2nd,Southampton,England,13.0,0.0,0.0,yes
312,female,34.0,3rd,Southampton,England,16.02,1.0,0.0,yes
313,male,32.0,3rd,Southampton,England,16.02,1.0,0.0,no
314,male,18.0,2nd,Southampton,England,73.1,0.0,0.0,no
315,male,1.0,3rd,Southampton,England,20.1106,1.0,2.0,yes
316,female,0.1666666667,3rd,Southampton,England,20.1106,1.0,2.0,yes
317,male,25.0,3rd,Southampton,England,20.1106,1.0,2.0,no
318,female,32.0,3rd,Southampton,England,20.1106,1.0,2.0,yes
319,male,25.0,3rd,Southampton,Bosnia,7.1711,0.0,0.0,no
320,female,24.0,2nd,Cherbourg,Italy,27.1405,1.0,0.0,yes
321,male,29.0,2nd,Cherbourg,Italy,27.1405,1.0,0.0,no
322,male,36.0,3rd,Southampton,United States,17.08,1.0,0.0,yes
323,female,36.0,3rd,Southampton,United States,17.08,1.0,0.0,yes
324,male,30.0,3rd,Southampton,Belgium,9.1,0.0,0.0,yes
325,male,25.0,2nd,Southampton,Channel Islands,31.1,0.0,0.0,no
326,male,30.0,3rd,Southampton,,7.1711,0.0,0.0,no
327,male,22.0,3rd,Southampton,England,7.05,0.0,0.0,no
328,male,26.0,3rd,Southampton,England,7.05,0.0,0.0,no
329,male,16.0,3rd,Southampton,Belgium,9.1,0.0,0.0,no
330,female,19.0,3rd,Queenstown,Ireland,7.1707,0.0,0.0,yes
331,male,18.0,2nd,Southampton,England,73.1,0.0,0.0,no
332,male,31.0,1st,Southampton,Canada,57.0,1.0,0.0,yes
333,female,17.0,1st,Southampton,United States,57.0,1.0,0.0,yes
334,male,17.0,3rd,Southampton,Croatia (Modern),7.1711,0.0,0.0,no
335,male,42.0,3rd,Southampton,Hungary,8.1303,0.0,0.0,no
336,male,43.0,3rd,Southampton,,7.1711,0.0,0.0,no
337,male,52.0,1st,Southampton,United States,81.1702,1.0,1.0,yes
338,male,4.0,1st,Southampton,United States,81.1702,0.0,2.0,yes
339,female,34.0,1st,Southampton,United States,81.1702,1.0,1.0,yes
340,female,18.0,2nd,Southampton,England,23.0,0.0,1.0,yes
341,female,34.0,2nd,Southampton,England,23.0,0.0,1.0,yes
342,female,21.0,3rd,Queenstown,Ireland,7.15,0.0,0.0,no
343,male,37.0,3rd,Queenstown,Ireland,7.15,0.0,0.0,no
344,male,18.0,3rd,Southampton,England,8.01,0.0,0.0,yes
345,male,22.0,3rd,Queenstown,Ireland,8.0902,0.0,0.0,no
346,female,48.0,1st,Cherbourg,United States,106.0806,1.0,0.0,yes
347,female,27.0,1st,Cherbourg,Canada,247.1005,1.0,1.0,yes
348,male,50.0,1st,Cherbourg,United States,106.0806,1.0,0.0,no
349,male,55.0,2nd,Southampton,England,26.0,0.0,0.0,no
350,female,31.0,3rd,Southampton,United States,12.0906,0.0,0.0,yes
351,female,28.0,3rd,Queenstown,Ireland,7.15,0.0,0.0,no
352,male,33.0,3rd,Cherbourg,Croatia (Modern),7.1711,0.0,0.0,no
353,male,8.0,2nd,Southampton,United States,32.1,0.0,2.0,yes
354,male,42.0,2nd,Southampton,England,32.1,1.0,1.0,no
355,female,34.0,2nd,Southampton,United States,32.1,1.0,1.0,yes
356,female,27.0,3rd,Queenstown,Ireland,7.15,0.0,0.0,yes
357,female,24.0,3rd,Southampton,England,8.01,0.0,0.0,yes
358,female,48.0,1st,Cherbourg,England,56.1807,1.0,0.0,yes
359,male,49.0,1st,Cherbourg,England,39.12,1.0,0.0,yes
360,male,39.0,1st,Cherbourg,United States,29.14,0.0,0.0,no
361,male,24.0,3rd,Southampton,Channel Islands,7.11,0.0,0.0,yes
362,female,27.0,2nd,Cherbourg,Spain,13.1702,1.0,0.0,yes
363,female,30.0,2nd,Cherbourg,Spain,13.1702,1.0,0.0,yes
364,male,65.0,3rd,Queenstown,Ireland,7.15,0.0,0.0,no
365,male,23.0,3rd,Southampton,United States,13.18,1.0,0.0,no
366,female,22.0,3rd,Southampton,United States,13.18,1.0,0.0,yes
367,female,23.0,1st,Cherbourg,United States,83.0302,0.0,1.0,yes
368,male,18.0,3rd,Southampton,Sweden,7.1506,0.0,0.0,no
369,male,25.0,2nd,Southampton,United States,13.0,0.0,0.0,no
370,male,16.0,3rd,Southampton,Sweden,7.1506,0.0,0.0,no
371,male,45.0,3rd,Southampton,Sweden,6.1906,0.0,0.0,no
372,male,29.0,3rd,Cherbourg,,7.0406,0.0,0.0,no
373,male,15.0,3rd,Cherbourg,Lebanon,7.0407,1.0,1.0,no
374,male,22.0,3rd,Cherbourg,Lebanon,7.0407,1.0,1.0,no
375,male,48.0,3rd,Southampton,England,7.05,0.0,0.0,no
376,female,5.0,3rd,Southampton,United States,12.0906,0.0,0.0,yes
377,male,21.0,2nd,Southampton,Sweden,13.0,0.0,0.0,no
378,female,39.0,1st,Cherbourg,United States,247.1006,0.0,0.0,yes
379,male,37.0,3rd,Southampton,,7.01,0.0,0.0,no
380,female,54.0,1st,Cherbourg,United States,78.0504,1.0,0.0,yes
381,female,36.0,1st,Cherbourg,United States,31.1307,0.0,0.0,no
382,male,38.0,3rd,Southampton,England,15.02,0.0,0.0,no
383,male,18.0,2nd,Southampton,Norway,13.0,0.0,0.0,no
384,male,46.0,3rd,Southampton,England,7.05,0.0,0.0,no
385,male,26.0,3rd,Queenstown,Ireland,7.15,0.0,0.0,no
386,male,49.0,1st,Southampton,England,221.1507,0.0,0.0,no
387,male,32.0,2nd,Southampton,England,26.0,1.0,0.0,no
388,male,18.0,2nd,Southampton,England,10.1,0.0,0.0,no
389,male,34.0,3rd,Southampton,,7.01,0.0,0.0,yes
390,male,18.0,3rd,Southampton,Sweden,7.1511,0.0,0.0,no
